"time","pump.medium.T","N_pump.y","Source.ports[1].m_flow","Source.ports[1].p","Source.ports[1].h_outflow","Sink.ports[1].m_flow","Sink.ports[1].p","Sink.ports[1].h_outflow","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","V1.minLimiter.y","V2.port_b.m_flow","V2.port_b.p","V2.port_b.h_outflow","V2.minLimiter.y","V1_Opening.y","V2_Opening.y"
2.4380000000000002,294.20749357017894,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88104.553097628785,-0.86059664871977548,100000,88104.553097628785,1,0,100000,88104.553097628785,0.001,1,0
2.4399999999999999,294.21056739922153,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88117.413998342978,-0.86059664871977548,100000,88117.413998342978,1,0,100000,88117.413998342978,0.001,1,0
2.4420000000000002,294.21364122826418,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88130.274899057418,-0.86059664871977548,100000,88130.274899057418,1,0,100000,88130.274899057418,0.001,1,0
2.444,294.21671505730683,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88143.135799771859,-0.86059664871977548,100000,88143.135799771859,1,0,100000,88143.135799771859,0.001,1,0
2.4460000000000002,294.21978888634942,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88155.996700486066,-0.86059664871977548,100000,88155.996700486066,1,0,100000,88155.996700486066,0.001,1,0
2.448,294.22286271539207,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88168.857601200507,-0.86059664871977548,100000,88168.857601200507,1,0,100000,88168.857601200507,0.001,1,0
2.4500000000000002,294.22593654443472,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88181.718501914947,-0.86059664871977548,100000,88181.718501914947,1,0,100000,88181.718501914947,0.001,1,0
2.452,294.22901037347737,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88194.579402629388,-0.86059664871977548,100000,88194.579402629388,1,0,100000,88194.579402629388,0.001,1,0
2.4540000000000002,294.23208420252001,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88207.440303343828,-0.86059664871977548,100000,88207.440303343828,1,0,100000,88207.440303343828,0.001,1,0
2.456,294.23515803156266,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88220.301204058269,-0.86059664871977548,100000,88220.301204058283,1,0,100000,88220.301204058283,0.001,1,0
2.4580000000000002,294.23823186060525,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88233.162104772477,-0.86059664871977548,100000,88233.162104772477,1,0,100000,88233.162104772477,0.001,1,0
2.46,294.2413056896479,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88246.023005486917,-0.86059664871977548,100000,88246.023005486932,1,0,100000,88246.023005486932,0.001,1,0
2.4620000000000002,294.24437951869055,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88258.883906201358,-0.86059664871977548,100000,88258.883906201358,1,0,100000,88258.883906201358,0.001,1,0
2.464,294.24745334773314,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88271.744806915565,-0.86059664871977548,100000,88271.74480691558,1,0,100000,88271.74480691558,0.001,1,0
2.4660000000000002,294.25052717677579,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88284.605707630006,-0.86059664871977548,100000,88284.605707630006,1,0,100000,88284.605707630006,0.001,1,0
2.468,294.25360100581844,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88297.466608344446,-0.86059664871977548,100000,88297.466608344446,1,0,100000,88297.466608344446,0.001,1,0
2.4700000000000002,294.25667483486109,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88310.327509058887,-0.86059664871977548,100000,88310.327509058887,1,0,100000,88310.327509058887,0.001,1,0
2.472,294.25974866390368,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88323.18840977308,-0.86059664871977548,100000,88323.188409773065,1,0,100000,88323.188409773065,0.001,1,0
2.4740000000000002,294.26282249294633,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88336.049310487535,-0.86059664871977548,100000,88336.049310487535,1,0,100000,88336.049310487535,0.001,1,0
2.476,294.26589632198898,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88348.910211201975,-0.86059664871977548,100000,88348.910211201975,1,0,100000,88348.910211201975,0.001,1,0
2.4780000000000002,294.26897015103157,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88361.771111916169,-0.86059664871977548,100000,88361.771111916169,1,0,100000,88361.771111916169,0.001,1,0
2.48,294.27204398007422,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88374.632012630609,-0.86059664871977548,100000,88374.632012630609,1,0,100000,88374.632012630609,0.001,1,0
2.4820000000000002,294.27511780911686,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88387.49291334505,-0.86059664871977548,100000,88387.49291334505,1,0,100000,88387.49291334505,0.001,1,0
2.484,294.27819163815951,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88400.35381405949,-0.86059664871977548,100000,88400.35381405949,1,0,100000,88400.35381405949,0.001,1,0
2.4860000000000002,294.2812654672021,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88413.214714773698,-0.86059664871977548,100000,88413.214714773698,1,0,100000,88413.214714773698,0.001,1,0
2.488,294.28433929624475,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88426.075615488138,-0.86059664871977548,100000,88426.075615488138,1,0,100000,88426.075615488138,0.001,1,0
2.4900000000000002,294.2874131252874,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88438.936516202579,-0.86059664871977548,100000,88438.936516202579,1,0,100000,88438.936516202579,0.001,1,0
2.492,294.29048695433005,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88451.797416917019,-0.86059664871977548,100000,88451.797416917019,1,0,100000,88451.797416917019,0.001,1,0
2.4940000000000002,294.29356078337264,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88464.658317631227,-0.86059664871977548,100000,88464.658317631227,1,0,100000,88464.658317631227,0.001,1,0
2.496,294.29663461241529,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88477.519218345667,-0.86059664871977548,100000,88477.519218345667,1,0,100000,88477.519218345667,0.001,1,0
