"time","I.re","I.im"
0.84460000000000002,9.9998081676742654e-06,2.5658194421173414e-10
0.8448,9.9998081708517756e-06,2.5659307075518681e-10
0.84500000000000008,9.9998081740759828e-06,2.5660418418987322e-10
0.84520000000000006,9.9998081776154574e-06,2.5661506728370859e-10
0.84540000000000004,9.9998081807212409e-06,2.5662599913027391e-10
0.84560000000000002,9.999808184052613e-06,2.5663707710913846e-10
0.8458,9.9998081871265159e-06,2.566479583857361e-10
0.84600000000000009,9.9998081903021695e-06,2.5665889957939301e-10
0.84620000000000006,9.9998081935776205e-06,2.5666978761524925e-10
0.84640000000000004,9.9998081969875837e-06,2.5668093403358578e-10
0.84660000000000002,9.9998082001493138e-06,2.5669192971780711e-10
0.8468,9.9998082034347784e-06,2.5670292024648538e-10
0.84700000000000009,9.9998082065637825e-06,2.5671390746061185e-10
0.84720000000000006,9.9998082097731937e-06,2.5672488621158774e-10
0.84740000000000004,9.9998082131483032e-06,2.567359753475223e-10
0.84760000000000002,9.9998082164695566e-06,2.5674700609404807e-10
0.8478,9.9998082195399172e-06,2.567577117337052e-10
0.84800000000000009,9.9998082230341179e-06,2.5676880692734694e-10
0.84820000000000007,9.9998082261041058e-06,2.567798868766922e-10
0.84840000000000004,9.9998082291562518e-06,2.5679103206238061e-10
0.84860000000000002,9.9998082327123299e-06,2.5680180385942098e-10
0.8488,9.9998082358427112e-06,2.5681284568712945e-10
0.84900000000000009,9.9998082392579447e-06,2.5682374091516995e-10
0.84920000000000007,9.99980824245586e-06,2.5683466522230606e-10
0.84940000000000004,9.9998082455360936e-06,2.5684570628493222e-10
0.84960000000000002,9.9998082491478557e-06,2.5685672919005627e-10
0.8498,9.9998082521891901e-06,2.5686779636011236e-10
0.85000000000000009,9.9998082553390702e-06,2.5687854421285687e-10
0.85020000000000007,9.9998082586158324e-06,2.5688955422272114e-10
0.85040000000000004,9.9998082617751077e-06,2.5690053394594444e-10
0.85060000000000002,9.9998082650864831e-06,2.5691170926944986e-10
